distance_m,soil_moisture_content_pct
56.11,3.284573817
56.25,3.28550002
56.39,3.836426223
56.53,3.847352426
56.67,2.198278629
56.81,3.689204832
56.94,3.710131035
57.08,3.601057238
57.22,4.911983441
57.36,3.802909644
57.50,4.353835847
57.64,4.74476205
57.78,4.745688254
57.92,5.566614457
58.06,4.80754066
58.19,4.078466863
58.33,4.089393066
58.47,3.390319269
58.61,3.631245472
58.75,3.922171675
58.89,3.523097878
59.03,3.484024081
59.17,3.124950284
59.31,4.045876487
59.44,3.47680269
59.58,3.127728893
59.72,3.618655096
59.86,3.059581299
60.00,3.360507502
60.14,2.921433705
60.28,3.052359908
60.42,3.193286111
60.56,3.664212314
60.69,3.915138517
60.83,3.99606472
60.97,3.836990923
61.11,3.607917127
61.25,3.35884333
61.39,3.449769533
61.53,3.990695736
61.67,4.161621939
61.81,3.712548142
61.94,3.943474345
62.08,4.334400548
62.22,4.045326751
62.36,3.616252954
62.50,3.687179157
62.64,4.64810536
62.78,4.399031563
62.92,4.039957766
63.06,3.340883969
63.19,3.181810172
63.33,4.652736375
63.47,4.283662578
63.61,4.174588781
63.75,4.845514984
63.89,3.266441187
64.03,3.15736739
64.17,2.448293593
64.31,2.739219796
64.44,2.930145999
64.58,3.411072203
64.72,3.761998406
64.86,3.582924609
65.00,3.583850812
65.14,3.294777015
65.28,3.365703218
65.42,3.116629421
65.56,3.217555624
65.69,3.418481827
65.83,2.82940803
65.97,3.360334233
66.11,3.291260436
66.25,3.262186639
66.39,3.423112842
66.53,3.634039045
66.67,3.234965248
66.81,4.675891451
66.94,2.806817654
67.08,3.057743857
67.22,2.81867006
67.36,3.229596263
67.50,3.410522466
67.64,4.051448669
67.78,3.702374872
67.92,4.343301076
68.06,3.294227279
68.19,3.395153482
68.33,3.486079685
68.47,3.067005888
68.61,3.167932091
68.75,3.288858294
68.89,2.669784497
69.03,2.8507107
69.17,2.911636903
69.31,3.362563106
69.44,3.173489309
69.58,2.804415512
69.72,3.135341715
69.86,2.736267918
70.00,2.707194121
70.14,2.738120324
70.28,2.479046527
70.42,2.85997273
70.56,3.290898933
70.69,3.051825136
70.83,3.102751339
70.97,3.353677542
71.11,3.904603745
71.25,2.895529949
71.39,2.966456152
71.53,2.397382355
71.67,2.828308558
71.81,2.739234761
71.94,2.850160964
